Precinct,Roger A. Bowyer,Timothy J. Denlinger,Fred Garber,Lauren N. Hester,Darren McNew,Susan Steck,Total Votes Cast,Contest Total
BRK-A,169,250,160,154,94,260,1087,1794
BRK-B,112,218,134,120,104,193,881,1392
BRK-C,161,272,193,170,116,303,1215,1857
BRK-D,144,222,143,179,124,229,1041,1584
CLATWP-B,89,142,108,69,85,172,665,1143
CLATWP-C,96,132,116,71,80,156,651,978
CTN 1-B,0,0,0,0,0,0,0,3
PERTWP-A,118,141,97,58,70,147,631,996
PERTWP-B,99,178,142,108,85,195,807,1263
TR 1-A,3,5,5,6,3,11,33,75
